data,distretto,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-11-16,39,82006,Bagheria,38.078918,13.512365,,,,,311,,,220,23,554,874,554,,,,
2020-11-16,39,82067,Santa Flavia,38.08246,13.52758,,,,,68,,,26,0,96,164,94,,,,
2020-11-16,39,82035,Ficarazzi,38.089272,13.46891,,,,,99,,,49,0,148,268,148,,,,
2020-11-16,39,82023,Casteldaccia,38.05373,13.52967,,,,,46,,,18,0,64,89,64,,,,
2020-11-16,39,82004,Altavilla Milicia,38.0421,13.54901,,,,,45,,,19,0,64,103,64,,,,
2020-11-17,39,82006,Bagheria,38.078918,13.512365,,,,,333,22,33,231,23,587,905,587,,,,
2020-11-17,39,82067,Santa Flavia,38.08246,13.52758,,,,,68,0,0,26,0,94,169,94,,,,
2020-11-17,39,82035,Ficarazzi,38.089272,13.46891,,,,,99,0,1,50,0,149,276,149,,,,
2020-11-17,39,82023,Casteldaccia,38.05373,13.52967,,,,,45,-1,0,19,0,64,94,64,,,,
2020-11-17,39,82004,Altavilla Milicia,38.0421,13.54901,,,,,45,0,1,20,0,65,111,65,,,,
2020-11-18,39,82006,Bagheria,38.078918,13.512365,,,,,349,16,23,236,25,610,930,610,,,,
2020-11-18,39,82067,Santa Flavia,38.08246,13.52758,,,,,71,3,5,28,0,99,172,99,,,,
2020-11-18,39,82035,Ficarazzi,38.089272,13.46891,,,,,100,1,3,52,0,152,277,152,,,,
2020-11-18,39,82023,Casteldaccia,38.05373,13.52967,,,,,46,1,1,19,0,65,98,65,,,,
2020-11-18,39,82004,Altavilla Milicia,38.0421,13.54901,,,,,42,-3,2,25,0,67,113,67,,,,
2020-11-19,39,82006,Bagheria,38.078918,13.512365,,,,,381,32,34,237,26,644,956,644,,,,
2020-11-19,39,82067,Santa Flavia,38.08246,13.52758,,,,,84,13,13,28,0,112,183,112,,,,
2020-11-19,39,82035,Ficarazzi,38.089272,13.46891,,,,,109,9,16,58,1,168,283,168,,,,
2020-11-19,39,82023,Casteldaccia,38.05373,13.52967,,,,,47,1,2,20,0,67,107,67,,,,
2020-11-19,39,82004,Altavilla Milicia,38.0421,13.54901,,,,,42,0,0,25,0,67,115,67,,,,
2020-11-20,39,82006,Bagheria,38.078918,13.512365,,,,,402,21,49,265,26,693,1004,693,,,,
2020-11-20,39,82067,Santa Flavia,38.08246,13.52758,,,,,87,3,5,30,0,117,191,117,,,,
2020-11-20,39,82035,Ficarazzi,38.089272,13.46891,,,,,114,5,11,64,1,179,291,179,,,,
2020-11-20,39,82023,Casteldaccia,38.05373,13.52967,,,,,42,-5,3,28,0,70,111,70,,,,
2020-11-20,39,82004,Altavilla Milicia,38.0421,13.54901,,,,,43,1,1,25,0,68,119,68,,,,
2020-11-21,39,82006,Bagheria,38.078918,13.512365,,,,,399,-3,10,278,26,703,1086,703,,,,
2020-11-21,39,82067,Santa Flavia,38.08246,13.52758,,,,,86,-1,1,32,0,118,204,118,,,,
2020-11-21,39,82035,Ficarazzi,38.089272,13.46891,,,,,110,-4,1,68,1,180,302,180,,,,
2020-11-21,39,82023,Casteldaccia,38.05373,13.52967,,,,,43,1,1,28,0,71,117,71,,,,
2020-11-21,39,82004,Altavilla Milicia,38.0421,13.54901,,,,,43,0,0,25,0,68,123,68,,,,
2020-11-23,39,82006,Bagheria,38.078918,13.512365,,,,,411,12,30,296,26,733,1169,733,,,,
2020-11-23,39,82067,Santa Flavia,38.08246,13.52758,,,,,78,-8,3,40,3,121,217,121,,,,
2020-11-23,39,82035,Ficarazzi,38.089272,13.46891,,,,,124,14,14,69,1,194,320,194,,,,
2020-11-23,39,82023,Casteldaccia,38.05373,13.52967,,,,,49,6,7,29,0,78,151,78,,,,
2020-11-23,39,82004,Altavilla Milicia,38.0421,13.54901,,,,,46,3,6,28,0,74,137,74,,,,
