data,comune,nuovi_positivi,deceduti
2020-09-22,Bagheria,0,1
2020-09-23,Bagheria,0,0
2020-09-24,Bagheria,0,0
2020-09-25,Bagheria,0,0
2020-09-26,Bagheria,0,0
2020-09-27,Bagheria,0,0
2020-09-28,Bagheria,0,0
2020-09-29,Bagheria,0,0
2020-09-30,Bagheria,0,0
2020-10-01,Bagheria,0,0
2020-10-02,Bagheria,0,0
2020-10-03,Bagheria,0,0
2020-10-04,Bagheria,0,0
2020-10-05,Bagheria,0,0
2020-10-06,Bagheria,1,0
2020-10-07,Bagheria,1,0
2020-10-08,Bagheria,1,0
2020-10-09,Bagheria,0,0
2020-10-10,Bagheria,1,0
2020-10-11,Bagheria,2,0
2020-10-12,Bagheria,1,0
2020-10-13,Bagheria,0,0
2020-10-14,Bagheria,0,0
2020-10-15,Bagheria,10,0
2020-10-16,Bagheria,1,1
2020-10-17,Bagheria,6,0
2020-10-18,Bagheria,1,0
2020-10-19,Bagheria,6,0
2020-10-20,Bagheria,5,0
2020-10-21,Bagheria,2,0
2020-10-22,Bagheria,7,0
2020-10-23,Bagheria,6,1
2020-10-24,Bagheria,18,0
2020-10-25,Bagheria,3,2
2020-10-26,Bagheria,34,1
2020-10-27,Bagheria,17,1
2020-10-28,Bagheria,23,2
2020-10-29,Bagheria,19,1
2020-10-30,Bagheria,5,0
2020-10-31,Bagheria,8,0
2020-11-01,Bagheria,1,0
2020-11-02,Bagheria,3,0
2020-11-03,Bagheria,9,1
2020-11-04,Bagheria,17,1
2020-11-05,Bagheria,8,1
2020-11-06,Bagheria,26,1
2020-11-07,Bagheria,21,0
2020-11-08,Bagheria,6,1
2020-11-09,Bagheria,45,2
2020-11-10,Bagheria,11,2
2020-11-11,Bagheria,55,1
2020-11-12,Bagheria,14,2
2020-11-13,Bagheria,21,1
2020-11-14,Bagheria,23,1
2020-11-15,Bagheria,41,0
2020-11-16,Bagheria,8,1
2020-11-17,Bagheria,17,1
2020-11-18,Bagheria,14,1
2020-11-19,Bagheria,7,1
2020-11-20,Bagheria,20,3
2020-11-21,Bagheria,24,0
2020-11-22,Bagheria,23,4
2020-11-23,Bagheria,18,0
2020-11-24,Bagheria,13,0
2020-11-25,Bagheria,10,3
2020-11-26,Bagheria,13,4
2020-11-27,Bagheria,16,1
2020-11-28,Bagheria,11,2
2020-11-29,Bagheria,18,2
2020-11-30,Bagheria,20,1
2020-12-01,Bagheria,7,3
2020-12-02,Bagheria,3,1
2020-12-03,Bagheria,18,0
2020-12-04,Bagheria,8,1
2020-12-05,Bagheria,5,0
2020-12-06,Bagheria,9,0
2020-12-07,Bagheria,11,1
2020-12-08,Bagheria,4,0
2020-12-09,Bagheria,6,1
2020-12-10,Bagheria,13,0
2020-12-11,Bagheria,12,1
2020-12-12,Bagheria,5,0
2020-12-13,Bagheria,17,1
2020-12-14,Bagheria,11,2
2020-12-15,Bagheria,8,1
2020-12-16,Bagheria,4,1
2020-12-17,Bagheria,22,1
2020-12-18,Bagheria,16,0
2020-12-19,Bagheria,9,1
2020-12-20,Bagheria,20,0
2020-12-21,Bagheria,10,0
2020-12-22,Bagheria,10,0
2020-12-23,Bagheria,28,0
2020-12-24,Bagheria,8,0
2020-12-25,Bagheria,4,0
2020-12-26,Bagheria,17,1
2020-12-27,Bagheria,12,3
2020-12-28,Bagheria,35,0
2020-12-29,Bagheria,21,0
2020-12-30,Bagheria,32,0
2020-12-31,Bagheria,7,0
2021-01-01,Bagheria,7,0
2021-01-02,Bagheria,44,0
2021-01-03,Bagheria,19,0
2021-01-04,Bagheria,12,0
2021-01-05,Bagheria,9,1
2021-01-06,Bagheria,9,0
2021-01-07,Bagheria,32,0
2021-01-08,Bagheria,6,1
2021-01-09,Bagheria,10,1
2021-01-10,Bagheria,16,1
2021-01-11,Bagheria,21,1
2021-01-12,Bagheria,11,1
2021-01-13,Bagheria,17,1
2021-01-14,Bagheria,21,2
2021-01-15,Bagheria,24,0
2021-01-16,Bagheria,18,1
2021-01-17,Bagheria,4,0
2021-01-18,Bagheria,48,1
2021-01-19,Bagheria,11,0
2021-01-20,Bagheria,25,0
2021-01-21,Bagheria,3,0
2021-01-22,Bagheria,27,0
2021-01-23,Bagheria,14,1
2021-01-24,Bagheria,10,1
2021-01-25,Bagheria,8,3
2021-01-26,Bagheria,17,1
2021-01-27,Bagheria,12,0
2021-01-28,Bagheria,23,2
2021-01-29,Bagheria,23,0
2021-01-30,Bagheria,9,1
2021-01-31,Bagheria,3,0
2021-02-01,Bagheria,8,1
2021-02-02,Bagheria,17,0
2021-02-03,Bagheria,0,0
2021-02-04,Bagheria,41,0
2021-02-05,Bagheria,6,1
2021-02-06,Bagheria,7,0
2021-02-07,Bagheria,2,1
2021-02-08,Bagheria,0,0
2021-02-09,Bagheria,0,0
2021-02-10,Bagheria,29,0
2021-02-11,Bagheria,4,1
2021-02-12,Bagheria,1,1
2021-02-13,Bagheria,1,1
2021-02-14,Bagheria,3,0
2021-02-15,Bagheria,6,0
2021-02-16,Bagheria,4,0
2021-02-17,Bagheria,6,0
2021-02-18,Bagheria,5,0
2021-02-19,Bagheria,0,0
2021-02-20,Bagheria,1,0
2021-02-21,Bagheria,2,0
2021-02-22,Bagheria,1,0
2021-02-23,Bagheria,1,0
2021-02-24,Bagheria,4,0
2021-02-25,Bagheria,3,0
2021-02-26,Bagheria,1,0
2021-02-27,Bagheria,4,0
2021-02-28,Bagheria,2,0
2021-03-01,Bagheria,1,0
2021-03-02,Bagheria,5,0
2021-03-03,Bagheria,1,0
2021-03-04,Bagheria,0,0
2021-03-05,Bagheria,11,0
2021-03-06,Bagheria,5,2
2021-03-07,Bagheria,8,0
2021-03-08,Bagheria,0,2
2021-03-09,Bagheria,18,0
2021-03-10,Bagheria,0,0
2021-03-11,Bagheria,3,0
