data,comune,nuovi_positivi
2020-09-24,altavilla milicia,1
2020-09-25,altavilla milicia,0
2020-09-26,altavilla milicia,0
2020-09-27,altavilla milicia,0
2020-09-28,altavilla milicia,3
2020-09-29,altavilla milicia,0
2020-09-30,altavilla milicia,0
2020-10-01,altavilla milicia,0
2020-10-02,altavilla milicia,0
2020-10-03,altavilla milicia,0
2020-10-04,altavilla milicia,0
2020-10-05,altavilla milicia,0
2020-10-06,altavilla milicia,0
2020-10-07,altavilla milicia,0
2020-10-08,altavilla milicia,0
2020-10-09,altavilla milicia,0
2020-10-10,altavilla milicia,1
2020-10-11,altavilla milicia,0
2020-10-12,altavilla milicia,0
2020-10-13,altavilla milicia,0
2020-10-14,altavilla milicia,1
2020-10-15,altavilla milicia,0
2020-10-16,altavilla milicia,0
2020-10-17,altavilla milicia,0
2020-10-18,altavilla milicia,0
2020-10-19,altavilla milicia,3
2020-10-20,altavilla milicia,0
2020-10-21,altavilla milicia,1
2020-10-22,altavilla milicia,0
2020-10-23,altavilla milicia,0
2020-10-24,altavilla milicia,0
2020-10-25,altavilla milicia,0
2020-10-26,altavilla milicia,0
2020-10-27,altavilla milicia,0
2020-10-28,altavilla milicia,3
2020-10-29,altavilla milicia,1
2020-10-30,altavilla milicia,2
2020-10-31,altavilla milicia,0
2020-11-01,altavilla milicia,0
2020-11-02,altavilla milicia,0
2020-11-03,altavilla milicia,4
2020-11-04,altavilla milicia,4
2020-11-05,altavilla milicia,2
2020-11-06,altavilla milicia,0
2020-11-07,altavilla milicia,1
2020-11-08,altavilla milicia,0
2020-11-09,altavilla milicia,1
2020-11-10,altavilla milicia,0
2020-11-11,altavilla milicia,1
2020-11-12,altavilla milicia,3
2020-11-13,altavilla milicia,0
2020-11-14,altavilla milicia,4
2020-11-15,altavilla milicia,0
2020-11-16,altavilla milicia,0
2020-11-17,altavilla milicia,8
2020-11-18,altavilla milicia,1
2020-11-19,altavilla milicia,0
2020-11-20,altavilla milicia,3
2020-11-21,altavilla milicia,2
2020-11-22,altavilla milicia,7
2020-11-23,altavilla milicia,3
2020-11-24,altavilla milicia,4
2020-11-25,altavilla milicia,0
2020-11-26,altavilla milicia,1
2020-11-27,altavilla milicia,2
2020-11-28,altavilla milicia,2
2020-11-29,altavilla milicia,1
2020-11-30,altavilla milicia,0
2020-12-01,altavilla milicia,5
2020-12-02,altavilla milicia,0
2020-12-03,altavilla milicia,1
2020-12-04,altavilla milicia,1
2020-12-05,altavilla milicia,3
2020-12-06,altavilla milicia,0
2020-12-07,altavilla milicia,0
2020-12-08,altavilla milicia,0
2020-12-09,altavilla milicia,0
2020-12-10,altavilla milicia,1
2020-12-11,altavilla milicia,0
2020-12-12,altavilla milicia,1
2020-12-13,altavilla milicia,0
2020-12-14,altavilla milicia,2
2020-12-15,altavilla milicia,1
2020-12-16,altavilla milicia,0
2020-12-17,altavilla milicia,3
2020-12-18,altavilla milicia,0
2020-12-19,altavilla milicia,0
2020-12-20,altavilla milicia,2
2020-12-21,altavilla milicia,0
2020-12-22,altavilla milicia,0
2020-12-23,altavilla milicia,1
2020-12-24,altavilla milicia,0
2020-12-25,altavilla milicia,3
2020-12-26,altavilla milicia,2
2020-12-27,altavilla milicia,0
2020-12-28,altavilla milicia,2
2020-12-29,altavilla milicia,1
2020-12-30,altavilla milicia,5
2020-12-31,altavilla milicia,1
2021-01-01,altavilla milicia,0
2021-01-02,altavilla milicia,1
2021-01-03,altavilla milicia,2
2021-01-04,altavilla milicia,2
2021-01-05,altavilla milicia,0
2021-01-06,altavilla milicia,3
2021-01-07,altavilla milicia,1
2021-01-08,altavilla milicia,1
2021-01-09,altavilla milicia,2
2021-01-10,altavilla milicia,4
2021-01-11,altavilla milicia,1
2021-01-12,altavilla milicia,0
2021-01-13,altavilla milicia,4
2021-01-14,altavilla milicia,3
2021-01-15,altavilla milicia,6
2021-01-16,altavilla milicia,6
2021-01-17,altavilla milicia,2
2021-01-18,altavilla milicia,6
2021-01-19,altavilla milicia,1
2021-01-20,altavilla milicia,1
2021-01-21,altavilla milicia,3
2021-01-22,altavilla milicia,1
2021-01-23,altavilla milicia,5
2021-01-24,altavilla milicia,0
2021-01-25,altavilla milicia,0
2021-01-26,altavilla milicia,10
2021-01-27,altavilla milicia,4
2021-01-28,altavilla milicia,2
2021-01-29,altavilla milicia,7
2021-01-30,altavilla milicia,2
2021-01-31,altavilla milicia,0
2021-02-01,altavilla milicia,3
2021-02-02,altavilla milicia,6
2021-02-03,altavilla milicia,0
2021-02-04,altavilla milicia,6
2021-02-05,altavilla milicia,4
2021-02-06,altavilla milicia,5
2021-02-07,altavilla milicia,1
2021-02-08,altavilla milicia,0
2021-02-09,altavilla milicia,0
2021-02-10,altavilla milicia,3
2021-02-11,altavilla milicia,0
2021-02-12,altavilla milicia,0
2021-02-13,altavilla milicia,0
2021-02-14,altavilla milicia,0
2021-02-15,altavilla milicia,1
2021-02-16,altavilla milicia,1
2021-02-17,altavilla milicia,2
2021-02-18,altavilla milicia,0
2021-02-19,altavilla milicia,2
2021-02-20,altavilla milicia,5
2021-02-21,altavilla milicia,3
2021-02-22,altavilla milicia,0
2021-02-23,altavilla milicia,0
2021-02-24,altavilla milicia,0
2021-02-25,altavilla milicia,6
2021-02-26,altavilla milicia,0
2021-02-27,altavilla milicia,1
2021-02-28,altavilla milicia,1
2021-03-01,altavilla milicia,19
2021-03-02,altavilla milicia,2
2021-03-03,altavilla milicia,3
2021-03-04,altavilla milicia,4
2021-03-05,altavilla milicia,7
2021-03-06,altavilla milicia,3
2021-03-07,altavilla milicia,10
2021-03-08,altavilla milicia,0
2021-03-09,altavilla milicia,14
2021-03-10,altavilla milicia,4
2021-03-11,altavilla milicia,1
2021-03-12,altavilla milicia,4
2021-03-13,altavilla milicia,3
2021-03-14,altavilla milicia,0
2021-03-15,altavilla milicia,6
2021-03-16,altavilla milicia,2
2021-03-17,altavilla milicia,0
2021-03-18,altavilla milicia,3
2021-03-19,altavilla milicia,1
2021-03-20,altavilla milicia,0
2021-03-21,altavilla milicia,0
2021-03-22,altavilla milicia,1
2021-03-23,altavilla milicia,3
2021-03-24,altavilla milicia,4
2021-03-25,altavilla milicia,0
2021-03-26,altavilla milicia,2
2021-03-27,altavilla milicia,2
2021-03-28,altavilla milicia,1
2021-03-29,altavilla milicia,0
2021-03-30,altavilla milicia,8
2021-03-31,altavilla milicia,0
2021-04-01,altavilla milicia,1
