data,comune,count,mean,std,min,25%,50%,75%,max
2021-05-25,Altavilla Milicia,15,31,22,2,15,26,43,79
2021-05-26,Altavilla Milicia,17,34,22,2,15,31,44,79
2021-05-27,Altavilla Milicia,9,34,26,2,15,22,56,79
2021-05-28,Altavilla Milicia,9,34,26,2,15,22,56,79
2021-05-29,Altavilla Milicia,11,38,25,2,16,41,58,79
2021-05-30,Altavilla Milicia,11,38,25,2,16,41,58,79
2021-05-31,Altavilla Milicia,12,37,24,2,16,35,57,79
2021-06-01,Altavilla Milicia,12,37,24,2,16,35,57,79
2021-06-02,Altavilla Milicia,12,37,24,2,16,35,57,79
2021-06-03,Altavilla Milicia,11,40,23,12,19,41,58,79
2021-06-04,Altavilla Milicia,11,40,23,12,19,41,58,79
2021-06-05,Altavilla Milicia,11,40,23,12,19,41,58,79
2021-06-06,Altavilla Milicia,11,40,23,12,19,41,58,79
2021-06-07,Altavilla Milicia,9,44,23,12,22,53,61,79
2021-06-08,Altavilla Milicia,9,44,23,12,22,53,61,79
2021-06-09,Altavilla Milicia,9,44,23,12,22,53,61,79
2021-06-10,Altavilla Milicia,5,39,21,15,22,41,56,65
2021-06-11,Altavilla Milicia,5,39,21,15,22,41,56,65
2021-06-12,Altavilla Milicia,5,39,21,15,22,41,56,65
2021-06-13,Altavilla Milicia,4,39,24,15,20,39,58,65
2021-06-14,Altavilla Milicia,4,39,24,15,20,39,58,65
2021-06-15,Altavilla Milicia,5,30,19,15,22,23,27,65
2021-06-17,Altavilla Milicia,5,30,19,15,22,23,27,65
2021-06-18,Altavilla Milicia,4,32,22,15,21,25,36,65
2021-06-19,Altavilla Milicia,4,32,22,15,21,25,36,65
2021-06-20,Altavilla Milicia,4,32,22,15,21,25,36,65
2021-06-21,Altavilla Milicia,4,32,22,15,21,25,36,65
2021-06-22,Altavilla Milicia,3,38,23,23,25,27,46,65
2021-06-23,Altavilla Milicia,3,38,23,23,25,27,46,65
2021-06-24,Altavilla Milicia,3,45,19,27,36,45,55,65
2021-06-25,Altavilla Milicia,3,45,19,27,36,45,55,65
2021-06-26,Altavilla Milicia,3,45,19,27,36,45,55,65
2021-06-27,Altavilla Milicia,3,45,19,27,36,45,55,65
2021-06-28,Altavilla Milicia,2,36,12,27,31,36,40,45
2021-06-29,Altavilla Milicia,2,36,12,27,31,36,40,45
2021-06-30,Altavilla Milicia,2,36,12,27,31,36,40,45
2021-07-01,Altavilla Milicia,2,36,12,27,31,36,40,45
2021-07-04,Altavilla Milicia,2,36,12,27,31,36,40,45
2021-07-05,Altavilla Milicia,2,36,12,27,31,36,40,45
2021-07-07,Altavilla Milicia,0,0,0,0,0,0,0,0
2021-07-08,Altavilla Milicia,0,0,0,0,0,0,0,0
2021-07-09,Altavilla Milicia,0,0,0,0,0,0,0,0
2021-07-10,Altavilla Milicia,0,0,0,0,0,0,0,0
2021-07-11,Altavilla Milicia,0,0,0,0,0,0,0,0
2021-07-14,Altavilla Milicia,4,19,20,0,3,19,35,41
2021-07-15,Altavilla Milicia,4,19,20,0,3,19,35,41
2021-07-16,Altavilla Milicia,5,19,17,0,4,18,34,41
2021-07-17,Altavilla Milicia,7,32,27,0,11,34,52,69
2021-07-18,Altavilla Milicia,7,32,27,0,11,34,52,69
2021-07-19,Altavilla Milicia,7,32,27,0,11,34,52,69
2021-07-20,Altavilla Milicia,7,32,27,0,11,34,52,69
2021-07-21,Altavilla Milicia,7,32,27,0,11,34,52,69
2021-07-22,Altavilla Milicia,7,32,27,0,11,34,52,69
2021-07-24,Altavilla Milicia,5,31,33,0,4,18,64,69
2021-07-26,Altavilla Milicia,6,22,24,0,7,18,21,69
2021-07-27,Altavilla Milicia,8,21,20,0,14,18,23,69
2021-07-28,Altavilla Milicia,8,21,20,0,14,18,23,69
2021-07-29,Altavilla Milicia,8,21,20,0,14,18,23,69
2021-07-30,Altavilla Milicia,8,21,20,0,14,18,23,69
2021-07-31,Altavilla Milicia,7,17,6,4,18,18,20,24
2021-08-01,Altavilla Milicia,7,17,6,4,18,18,20,24
2021-08-02,Altavilla Milicia,7,25,15,18,18,18,23,59
2021-08-03,Altavilla Milicia,8,24,14,17,18,18,23,59
