data,comune,count,mean,std,min,25%,50%,75%,max
2021-05-25,Casteldaccia,57,67,26,5,48,80,88,97
2021-05-26,Casteldaccia,56,67,26,5,48,81,88,97
2021-05-27,Casteldaccia,50,71,23,8,55,82,89,97
2021-05-28,Casteldaccia,50,71,23,8,55,82,89,97
2021-05-29,Casteldaccia,51,71,23,8,54,82,89,97
2021-05-30,Casteldaccia,47,73,23,8,64,83,89,97
2021-05-31,Casteldaccia,47,73,23,8,64,83,89,97
2021-06-01,Casteldaccia,47,73,23,8,64,83,89,97
2021-06-02,Casteldaccia,48,73,22,8,64,83,89,97
2021-06-03,Casteldaccia,56,67,27,8,46,82,89,97
2021-06-04,Casteldaccia,48,63,28,8,43,79,86,97
2021-06-05,Casteldaccia,48,63,28,8,43,79,86,97
2021-06-06,Casteldaccia,48,63,28,8,43,79,86,97
2021-06-07,Casteldaccia,43,57,29,8,28,65,86,95
2021-06-08,Casteldaccia,41,54,29,8,27,53,83,95
2021-06-09,Casteldaccia,42,51,30,7,19,46,83,95
2021-06-10,Casteldaccia,39,52,31,7,19,48,84,95
2021-06-11,Casteldaccia,33,53,32,7,19,46,86,95
2021-06-12,Casteldaccia,33,53,32,7,19,46,86,95
2021-06-13,Casteldaccia,37,50,32,7,18,46,86,95
2021-06-14,Casteldaccia,22,31,26,7,15,18,44,95
2021-06-15,Casteldaccia,24,32,26,7,14,18,46,95
2021-06-17,Casteldaccia,23,33,26,7,14,19,47,95
2021-06-18,Casteldaccia,22,33,27,7,13,18,47,95
2021-06-19,Casteldaccia,22,33,27,7,13,18,47,95
2021-06-20,Casteldaccia,21,34,27,7,13,19,48,95
2021-06-21,Casteldaccia,17,25,16,7,13,18,46,50
2021-06-22,Casteldaccia,13,29,17,7,13,19,46,50
2021-06-23,Casteldaccia,17,28,17,1,13,35,46,50
2021-06-24,Casteldaccia,17,28,17,1,13,35,46,50
2021-06-25,Casteldaccia,17,28,17,1,13,35,46,50
2021-06-26,Casteldaccia,17,28,17,1,13,35,46,50
2021-06-27,Casteldaccia,17,28,17,1,13,35,46,50
2021-06-28,Casteldaccia,17,28,17,1,13,35,46,50
2021-06-29,Casteldaccia,13,25,17,1,9,18,38,50
2021-06-30,Casteldaccia,13,25,17,1,9,18,38,50
2021-07-01,Casteldaccia,11,26,18,1,8,35,42,50
2021-07-04,Casteldaccia,10,28,18,1,10,35,44,50
2021-07-05,Casteldaccia,11,23,17,1,8,17,37,48
2021-07-07,Casteldaccia,7,20,15,1,9,17,35,38
2021-07-08,Casteldaccia,7,20,15,1,9,17,35,38
