data,comune,nuovi_positivi
2020-09-23,casteldaccia,1
2020-09-24,casteldaccia,0
2020-09-25,casteldaccia,0
2020-09-26,casteldaccia,0
2020-09-27,casteldaccia,0
2020-09-28,casteldaccia,0
2020-09-29,casteldaccia,0
2020-09-30,casteldaccia,0
2020-10-01,casteldaccia,0
2020-10-02,casteldaccia,0
2020-10-03,casteldaccia,0
2020-10-04,casteldaccia,0
2020-10-05,casteldaccia,0
2020-10-06,casteldaccia,0
2020-10-07,casteldaccia,0
2020-10-08,casteldaccia,0
2020-10-09,casteldaccia,0
2020-10-10,casteldaccia,0
2020-10-11,casteldaccia,0
2020-10-12,casteldaccia,0
2020-10-13,casteldaccia,0
2020-10-14,casteldaccia,0
2020-10-15,casteldaccia,0
2020-10-16,casteldaccia,0
2020-10-17,casteldaccia,0
2020-10-18,casteldaccia,0
2020-10-19,casteldaccia,0
2020-10-20,casteldaccia,2
2020-10-21,casteldaccia,0
2020-10-22,casteldaccia,0
2020-10-23,casteldaccia,4
2020-10-24,casteldaccia,2
2020-10-25,casteldaccia,1
2020-10-26,casteldaccia,2
2020-10-27,casteldaccia,3
2020-10-28,casteldaccia,0
2020-10-29,casteldaccia,8
2020-10-30,casteldaccia,2
2020-10-31,casteldaccia,1
2020-11-01,casteldaccia,1
2020-11-02,casteldaccia,4
2020-11-03,casteldaccia,0
2020-11-04,casteldaccia,7
2020-11-05,casteldaccia,2
2020-11-06,casteldaccia,5
2020-11-07,casteldaccia,1
2020-11-08,casteldaccia,0
2020-11-09,casteldaccia,0
2020-11-10,casteldaccia,2
2020-11-11,casteldaccia,1
2020-11-12,casteldaccia,4
2020-11-13,casteldaccia,3
2020-11-14,casteldaccia,5
2020-11-15,casteldaccia,0
2020-11-16,casteldaccia,1
2020-11-17,casteldaccia,2
2020-11-18,casteldaccia,0
2020-11-19,casteldaccia,6
2020-11-20,casteldaccia,1
2020-11-21,casteldaccia,5
2020-11-22,casteldaccia,24
2020-11-23,casteldaccia,3
2020-11-24,casteldaccia,1
2020-11-25,casteldaccia,3
2020-11-26,casteldaccia,12
2020-11-27,casteldaccia,2
2020-11-28,casteldaccia,7
2020-11-29,casteldaccia,3
2020-11-30,casteldaccia,1
2020-12-01,casteldaccia,1
2020-12-02,casteldaccia,0
2020-12-03,casteldaccia,1
2020-12-04,casteldaccia,0
2020-12-05,casteldaccia,3
2020-12-06,casteldaccia,0
2020-12-07,casteldaccia,1
2020-12-08,casteldaccia,0
2020-12-09,casteldaccia,1
2020-12-10,casteldaccia,2
2020-12-11,casteldaccia,1
2020-12-12,casteldaccia,0
2020-12-13,casteldaccia,0
2020-12-14,casteldaccia,3
2020-12-15,casteldaccia,1
2020-12-16,casteldaccia,2
2020-12-17,casteldaccia,0
2020-12-18,casteldaccia,1
2020-12-19,casteldaccia,1
2020-12-20,casteldaccia,10
2020-12-21,casteldaccia,0
2020-12-22,casteldaccia,0
2020-12-23,casteldaccia,3
2020-12-24,casteldaccia,0
2020-12-25,casteldaccia,2
2020-12-26,casteldaccia,0
2020-12-27,casteldaccia,1
2020-12-28,casteldaccia,1
2020-12-29,casteldaccia,3
2020-12-30,casteldaccia,8
2020-12-31,casteldaccia,0
2021-01-01,casteldaccia,1
2021-01-02,casteldaccia,6
2021-01-03,casteldaccia,0
2021-01-04,casteldaccia,3
2021-01-05,casteldaccia,0
2021-01-06,casteldaccia,0
2021-01-07,casteldaccia,8
2021-01-08,casteldaccia,1
2021-01-09,casteldaccia,1
2021-01-10,casteldaccia,0
2021-01-11,casteldaccia,1
2021-01-12,casteldaccia,0
2021-01-13,casteldaccia,39
2021-01-14,casteldaccia,2
2021-01-15,casteldaccia,5
2021-01-16,casteldaccia,4
2021-01-17,casteldaccia,0
2021-01-18,casteldaccia,2
2021-01-19,casteldaccia,3
2021-01-20,casteldaccia,7
2021-01-21,casteldaccia,0
2021-01-22,casteldaccia,5
2021-01-23,casteldaccia,2
2021-01-24,casteldaccia,1
2021-01-25,casteldaccia,5
2021-01-26,casteldaccia,1
2021-01-27,casteldaccia,6
2021-01-28,casteldaccia,9
2021-01-29,casteldaccia,2
2021-01-30,casteldaccia,1
2021-01-31,casteldaccia,0
2021-02-01,casteldaccia,0
2021-02-02,casteldaccia,6
2021-02-03,casteldaccia,1
2021-02-04,casteldaccia,5
2021-02-05,casteldaccia,1
2021-02-06,casteldaccia,0
2021-02-07,casteldaccia,0
2021-02-08,casteldaccia,0
2021-02-09,casteldaccia,0
2021-02-10,casteldaccia,1
2021-02-11,casteldaccia,2
2021-02-12,casteldaccia,0
