data,comune,nuovi_positivi
2020-10-10,santa flavia,4
2020-10-11,santa flavia,0
2020-10-12,santa flavia,0
2020-10-13,santa flavia,0
2020-10-14,santa flavia,1
2020-10-15,santa flavia,0
2020-10-16,santa flavia,0
2020-10-17,santa flavia,0
2020-10-18,santa flavia,0
2020-10-19,santa flavia,0
2020-10-20,santa flavia,2
2020-10-21,santa flavia,2
2020-10-22,santa flavia,6
2020-10-23,santa flavia,1
2020-10-24,santa flavia,11
2020-10-25,santa flavia,0
2020-10-26,santa flavia,6
2020-10-27,santa flavia,1
2020-10-28,santa flavia,1
2020-10-29,santa flavia,7
2020-10-30,santa flavia,2
2020-10-31,santa flavia,2
2020-11-01,santa flavia,2
2020-11-02,santa flavia,3
2020-11-03,santa flavia,2
2020-11-04,santa flavia,6
2020-11-05,santa flavia,8
2020-11-06,santa flavia,6
2020-11-07,santa flavia,4
2020-11-08,santa flavia,0
2020-11-09,santa flavia,3
2020-11-10,santa flavia,9
2020-11-11,santa flavia,2
2020-11-12,santa flavia,4
2020-11-13,santa flavia,14
2020-11-14,santa flavia,1
2020-11-15,santa flavia,5
2020-11-16,santa flavia,2
2020-11-17,santa flavia,3
2020-11-18,santa flavia,3
2020-11-19,santa flavia,3
2020-11-20,santa flavia,3
2020-11-21,santa flavia,6
2020-11-22,santa flavia,3
2020-11-23,santa flavia,5
2020-11-24,santa flavia,6
2020-11-25,santa flavia,8
2020-11-26,santa flavia,4
2020-11-27,santa flavia,2
2020-11-28,santa flavia,2
2020-11-29,santa flavia,9
2020-11-30,santa flavia,6
2020-12-01,santa flavia,16
2020-12-02,santa flavia,1
2020-12-03,santa flavia,2
2020-12-04,santa flavia,4
2020-12-05,santa flavia,7
2020-12-06,santa flavia,3
2020-12-07,santa flavia,5
2020-12-08,santa flavia,2
2020-12-09,santa flavia,4
2020-12-10,santa flavia,7
2020-12-11,santa flavia,9
2020-12-12,santa flavia,8
2020-12-13,santa flavia,3
2020-12-14,santa flavia,0
2020-12-15,santa flavia,0
2020-12-16,santa flavia,1
2020-12-17,santa flavia,2
2020-12-18,santa flavia,1
2020-12-19,santa flavia,4
2020-12-20,santa flavia,8
2020-12-21,santa flavia,2
2020-12-22,santa flavia,0
2020-12-23,santa flavia,12
2020-12-24,santa flavia,7
2020-12-25,santa flavia,2
2020-12-26,santa flavia,6
2020-12-27,santa flavia,3
2020-12-28,santa flavia,8
2020-12-29,santa flavia,1
2020-12-30,santa flavia,14
2020-12-31,santa flavia,2
2021-01-01,santa flavia,0
2021-01-02,santa flavia,24
2021-01-03,santa flavia,6
2021-01-04,santa flavia,8
2021-01-05,santa flavia,0
2021-01-06,santa flavia,1
2021-01-07,santa flavia,28
2021-01-08,santa flavia,1
2021-01-09,santa flavia,2
2021-01-10,santa flavia,3
2021-01-11,santa flavia,10
2021-01-12,santa flavia,3
2021-01-13,santa flavia,3
2021-01-14,santa flavia,5
2021-01-15,santa flavia,35
2021-01-16,santa flavia,6
2021-01-17,santa flavia,0
2021-01-18,santa flavia,11
2021-01-19,santa flavia,6
2021-01-20,santa flavia,15
2021-01-21,santa flavia,5
2021-01-22,santa flavia,5
2021-01-23,santa flavia,1
2021-01-24,santa flavia,0
2021-01-25,santa flavia,0
2021-01-26,santa flavia,4
2021-01-27,santa flavia,2
2021-01-28,santa flavia,9
2021-01-29,santa flavia,5
2021-01-30,santa flavia,1
2021-01-31,santa flavia,0
2021-02-01,santa flavia,1
2021-02-02,santa flavia,3
2021-02-03,santa flavia,3
2021-02-04,santa flavia,3
2021-02-05,santa flavia,1
2021-02-06,santa flavia,0
2021-02-07,santa flavia,0
2021-02-08,santa flavia,0
2021-02-09,santa flavia,0
2021-02-10,santa flavia,6
2021-02-11,santa flavia,4
2021-02-12,santa flavia,0
2021-02-13,santa flavia,0
2021-02-14,santa flavia,0
2021-02-15,santa flavia,0
2021-02-16,santa flavia,0
2021-02-17,santa flavia,1
2021-02-18,santa flavia,1
2021-02-19,santa flavia,1
2021-02-20,santa flavia,0
2021-02-21,santa flavia,1
2021-02-22,santa flavia,0
2021-02-23,santa flavia,0
2021-02-24,santa flavia,0
2021-02-25,santa flavia,0
2021-02-26,santa flavia,0
2021-02-27,santa flavia,0
2021-02-28,santa flavia,0
2021-03-01,santa flavia,3
2021-03-02,santa flavia,0
2021-03-03,santa flavia,1
2021-03-04,santa flavia,0
2021-03-05,santa flavia,0
2021-03-06,santa flavia,5
2021-03-07,santa flavia,0
2021-03-08,santa flavia,1
2021-03-09,santa flavia,4
2021-03-10,santa flavia,7
2021-03-11,santa flavia,7
2021-03-12,santa flavia,3
2021-03-13,santa flavia,2
2021-03-14,santa flavia,0
2021-03-15,santa flavia,0
2021-03-16,santa flavia,15
2021-03-17,santa flavia,6
2021-03-18,santa flavia,12
2021-03-19,santa flavia,0
2021-03-20,santa flavia,0
2021-03-21,santa flavia,1
2021-03-22,santa flavia,7
2021-03-23,santa flavia,0
2021-03-24,santa flavia,5
2021-03-25,santa flavia,11
2021-03-26,santa flavia,1
2021-03-27,santa flavia,1
2021-03-28,santa flavia,4
2021-03-29,santa flavia,3
2021-03-30,santa flavia,4
2021-03-31,santa flavia,0
2021-04-01,santa flavia,5
2021-04-02,santa flavia,0
2021-04-03,santa flavia,7
2021-04-04,santa flavia,0
2021-04-05,santa flavia,0
2021-04-06,santa flavia,0
2021-04-07,santa flavia,0
2021-04-08,santa flavia,2
2021-04-09,santa flavia,5
2021-04-10,santa flavia,6
2021-04-11,santa flavia,4
2021-04-12,santa flavia,2
2021-04-13,santa flavia,7
2021-04-14,santa flavia,0
